               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.5451,              3.2191,               1.324,             0.37061,            0.095187,            0.097823,            0.052561,                   0,                   0,                   0,            0.011721,            0.011721,            0.011721
                  41,              2.5034,              3.1787,              1.3625,             0.37241,             0.13491,             0.10469,            0.053316,                   0,                   0,                   0,            0.011707,            0.011707,            0.011707
                  42,              2.5984,              3.2507,              1.3778,               0.295,             0.17593,             0.12109,            0.052526,                   0,                   0,                   0,            0.011692,            0.011692,            0.011692
                  43,              2.5765,              3.1293,              1.3259,             0.26433,             0.14532,             0.15101,             0.07451,                   0,                   0,                   0,            0.011677,            0.011677,            0.011677
                  44,              2.6099,               3.187,              1.3702,              0.2904,             0.18978,             0.16562,            0.078655,                   0,                   0,                   0,            0.011661,            0.011661,            0.011661
                  45,              2.5192,              3.1053,              1.3436,             0.22941,             0.23896,             0.17738,            0.084106,                   0,                   0,                   0,            0.011646,            0.011646,            0.011646
                  46,              2.3867,              2.9418,              1.3277,             0.30865,             0.20953,             0.17216,            0.063944,                   0,                   0,                   0,             0.01163,             0.01163,             0.01163
                  47,              2.4892,              2.9694,              1.3607,             0.33228,             0.29184,             0.21434,             0.10813,                   0,                   0,                   0,            0.011613,            0.011613,            0.011613
                  48,              2.5783,              2.9157,               1.301,             0.30072,             0.23104,             0.18645,            0.083078,                   0,                   0,                   0,            0.011596,            0.011596,            0.011596
                  49,              2.4821,              2.9381,              1.3441,             0.34215,              0.2749,             0.22489,              0.1092,                   0,                   0,                   0,            0.011579,            0.011579,            0.011579
                  50,              2.4312,              2.8717,              1.3197,             0.36713,             0.24736,             0.23515,             0.11352,                   0,                   0,                   0,            0.011562,            0.011562,            0.011562
                  51,              2.4726,              2.7914,              1.3307,             0.32361,             0.32104,             0.27329,              0.1293,                   0,                   0,                   0,            0.011544,            0.011544,            0.011544
